@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.441388028,0.118228628,0.251029526,1.950785764,0.387187351,9.211487321,2.98777542,3.94655404,10.38029459,23.58120192,26.45009429,4,94004.33458
0.417138424,0.120898572,0.273312855,1.922217166,0.39411829,9.667955668,2.921746161,3.898893267,9.340001605,23.56871459,25.16354536,3,92874.82827
0.419122881,0.123986644,0.256926137,1.925679781,0.397868916,9.628689631,2.922488262,3.977520937,8.666178734,23.56430078,25.66091412,4,88662.13836
0.424299909,0.134747922,0.257579562,1.835531197,0.395353717,9.464095146,3.067403209,4.102875054,10.5159673,23.55517959,27.50179844,5,92328.50651
0.425363601,0.122414844,0.263554734,1.856520906,0.383221483,9.291081051,2.923463648,3.917851699,10.88077922,23.53869008,24.84582121,5,98656.84527
0.298002343,0.096815156,0.233730293,3.076280437,0.452792798,10.28963674,3.169951399,2.988175892,8.753433362,22.75536567,23.8842622,4,97689.22542
0.413673772,0.116668247,0.266854724,1.943181266,0.399316775,9.346392054,2.96318647,4.170598577,9.99567823,23.52479841,23.82149397,4,96977.95665
0.458481477,0.146099807,0.284919065,1.976721203,0.387794417,9.624485061,2.976048047,3.908508141,9.115366309,23.50804828,23.68837886,3,93607.67043
0.434219529,0.123507481,0.257854259,1.919264603,0.388607971,9.342942394,2.932470565,3.844890228,9.553886652,23.49937796,27.85185989,5,88887.67628
0.402907689,0.126121254,0.253532379,1.898828254,0.389400515,9.683584472,2.912467188,4.067913571,8.780232321,23.48533509,27.54402422,5,86345.13273
0.457518768,0.12260586,0.26056675,1.939790455,0.377529808,9.43193507,3.079815686,3.957862782,8.619964081,23.47990829,26.04501639,4,86706.90149
0.407711507,0.117287364,0.263356844,1.933229081,0.361594996,9.593532311,3.217380291,4.076638229,8.087841192,23.46459231,25.52571696,4,84891.90945
0.409503035,0.122294036,0.253414043,1.968085085,0.394153845,9.576157186,3.036201517,4.301392439,10.6902991,23.44975484,26.59948995,3,95093.33644
