@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.411516257,0.129496886,0.252960371,1.968222305,0.358271543,10.84842133,3.015588729,3.865799228,6.934532669,23.92996561,26.85834498,0.01037542,83087.84202
0.439881403,0.139108388,0.255152121,1.894669472,0.382440126,10.76433873,3.052218561,4.009388426,6.327537049,20.56574992,27.68452718,0.013119853,73162.05684
0.427719653,0.121051783,0.261263946,1.986518416,0.399425563,10.99345161,2.939591899,3.85196754,3.376713218,23.83330168,25.75105887,0.011904894,70304.70959
0.405054282,0.147268737,0.288839506,1.820493745,0.374725009,10.06643488,2.907708042,3.929767337,2.198689425,18.42608307,27.55726541,0.011622919,51688.50682
0.439272011,0.142682751,0.255950694,1.895276354,0.396543484,10.96951181,3.05165258,3.837203023,4.585703857,21.72064457,28.93733002,0.010081169,67233.92553
0.406787035,0.120679886,0.250878455,1.872994376,0.392287067,10.87580259,3.16383828,3.948040849,6.310731343,20.54960329,25.61382257,0.009791786,75738.98431
0.407962756,0.124554189,0.256223916,1.933128589,0.385033331,10.82499959,2.913731401,3.815732964,7.063520155,18.49201863,26.34459881,0.010723764,76178.85224
0.425006924,0.141250409,0.257146642,1.936061039,0.391256557,10.88466861,3.054702158,4.066126253,5.467218481,22.18485642,23.323213,0.011114015,77883.50442
0.41096291,0.121257727,0.259402408,1.98491611,0.368979343,10.3524808,2.937734714,4.314083412,4.069170601,19.38800118,23.9348608,0.011789493,65541.55656
0.318166798,0.088987896,0.210426299,3.224193187,0.451815026,10.19044643,2.994050445,2.934559215,4.676886716,19.48488364,23.44263454,0.013465939,75083.38543
0.410843484,0.126559758,0.256506025,1.804500808,0.395969189,10.75033364,3.018758072,3.818771036,6.393964782,20.76956462,28.1910309,0.011585513,73760.40684
0.406644546,0.140855245,0.267287279,1.761378457,0.389817314,10.89533259,2.943102178,3.950601188,2.876684606,20.12759266,24.46924424,0.014812165,61462.74423
0.399856025,0.162186201,0.272029895,1.830750498,0.352263788,10.21960505,3.143584365,3.999620279,4.122815375,18.08756078,24.2982316,0.010508985,61965.422
0.43172682,0.119473805,0.261166482,1.852738113,0.378081966,10.76314175,2.939084939,3.845241331,5.092762551,21.84208318,24.79513003,0.013454814,74123.74344
0.418854931,0.119163753,0.255780245,1.929816532,0.375156641,10.68729119,3.144490728,4.119718161,6.410040226,22.40914028,26.65476706,0.011069829,77373.7394
0.415128236,0.127850083,0.259433554,1.903486046,0.371797972,10.49047795,3.033198619,4.091533629,4.383556838,21.70745355,24.11541614,0.010902091,70406.16512
0.411149555,0.124636257,0.277032364,1.873302671,0.365473131,10.65816455,2.954931707,3.835332978,4.150777125,21.86314995,28.36021817,0.012570573,66250.75096
0.414442686,0.132252157,0.270846857,1.963891503,0.399861869,10.15009357,3.023745582,4.038389966,2.863407835,22.46359354,25.47792479,0.011374389,62910.91884
0.404602282,0.134517265,0.262052897,1.912243637,0.386915412,9.783665581,3.04830432,3.945766557,3.210367827,20.80806931,25.32497252,0.011819506,60686.43432
